iter	MultiClass
0	1.773936367
1	1.655236383
2	1.569736162
3	1.500959683
4	1.444868227
5	1.399085414
6	1.361600629
7	1.328680558
8	1.301685451
9	1.278373974
10	1.258644588
11	1.240873396
12	1.226407891
13	1.213415517
14	1.202142897
15	1.191843308
16	1.184128131
17	1.176429979
18	1.169576716
19	1.163725962
20	1.158469167
21	1.154441695
22	1.150313316
23	1.147139059
24	1.143977732
25	1.141328984
26	1.138781986
27	1.136387262
28	1.134563368
29	1.133126486
30	1.131841758
31	1.130546026
32	1.129326408
33	1.128054536
34	1.127449246
35	1.12646763
36	1.125729795
37	1.124989207
38	1.124585094
39	1.123993772
40	1.123456739
41	1.122879215
42	1.122348364
43	1.121742266
44	1.121470508
45	1.121180773
46	1.120696036
47	1.120312635
48	1.120060137
49	1.119830354
50	1.119607399
51	1.119409315
52	1.119084935
53	1.11886198
54	1.118680635
55	1.118612797
56	1.118328465
57	1.117981527
58	1.117781252
59	1.117656161
60	1.117507352
61	1.117317084
62	1.11717481
63	1.117116775
64	1.116922648
65	1.116734857
66	1.11664697
67	1.116519794
68	1.116255604
69	1.116189848
70	1.116026836
71	1.115883248
72	1.115792379
73	1.115635865
74	1.115544649
75	1.115411131
76	1.115267358
77	1.115092
78	1.114999748
79	1.11483227
80	1.114747939
81	1.114649836
82	1.114511759
83	1.114439351
84	1.114378372
85	1.114314724
86	1.114159509
87	1.114130632
88	1.114038516
89	1.113937586
90	1.113873298
91	1.113821223
92	1.113729232
93	1.113643577
94	1.113572882
95	1.113521794
96	1.113449226
97	1.113396501
98	1.113308588
99	1.113205531
100	1.113094229
101	1.113035082
102	1.112947639
103	1.112445357
104	1.112404103
105	1.112322125
106	1.112180503
107	1.112073595
108	1.111929499
109	1.111880899
110	1.111728043
111	1.111599086
112	1.111493571
113	1.111333362
114	1.111245449
115	1.11110846
116	1.111028393
117	1.110923328
118	1.110814227
119	1.110709773
120	1.110618723
121	1.110492639
122	1.110393301
123	1.110317015
124	1.11017932
125	1.110054646
126	1.109991501
127	1.109901335
128	1.109786764
129	1.109713296
130	1.109611717
131	1.109486097
132	1.109412695
133	1.109320845
